2701,Sakthi Ferro Alloys India Private Limited,CRISIL BBB-/CRISIL A3,31-Jul-09,Suspended,8-Jul-10,"CRISIL BBB-/CRISILA3",26-Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,Sakthi Ganesh Textiles Private Limited,CRISIL BB/CRISIL A4+,31-Oct-11,CRISIL D/CRISIL D,9-Oct-12,CRISIL B+/CRISIL A4,14-Mar-13,"CRISIL BB-/CRISIL A4+",6-Nov-13,"CRISILBB/CRISIL A4+",29-Sep-14,,,,,,,,,,,,,,,,,,,,,,
2703,Sakthi Steel Industries Limited,CRISIL B+/CRISIL A4,26-Oct-12,CRISIL B/CRISIL A4,20-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,Sakthi Tarpaulin Company,CRISIL B/CRISIL A4,28-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,Sakthi Vinayaga Gin and Pressing Mills,CRISIL B+,31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,Sakti Steel Enterprises Private Limited,CRISIL BB+,30-Aug-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Sakuma Exports Limited,CRISIL BBB+,18-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,Salarpuria Griha Nirman Private Limited,CRISIL BBB+,4-Jul-08,CRISIL A,4-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,Salarpuria Housing Private Limited,CRISIL A,14-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,Salarpuria Properties Private Limited,CRISIL BBB+/CRISIL A2,4-Jul-08,CRISIL A/CRISIL A1,4-May-11,CRISIL A,12-Apr-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,Salarpuria Real Estates Private Limited,CRISIL A,14-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,SalaSaar Iron and Steels Private Limited,CRISIL BB/CRISIL A4+,20-Feb-13,Suspended,9-Dec-14,CRISIL BB-,28-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2713,Salasar Alloy and Steel Industries Private Limited,CRISIL BB/CRISIL A4+,26-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714,Salasar Balaji Cold Storage Private Limited,CRISIL B+,18-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715,Salasar Balaji Real Infra,CRISIL B-,25-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,Salasar Foods,CRISIL BB/CRISIL A4+,30-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717,Salasar Green Energy Private Limited,CRISIL BB,8-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718,Salasar Plywood Private Limited,CRISIL BB/CRISIL A4+,6-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,Salasar Stainless Limited,CRISIL BBB-,12-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720,Salasar Techno Engineering Limited,CRISIL BB+/CRISIL A4+,7-Oct-10,"CRISIL BB/CRISILA4+",27-Jan-12,Suspended,27-Aug-13,"CRISIL BBB-/CRISIL A3",28-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,
2721,Salasarlene Dress Fab Private Limited,CRISIL B-,18-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722,Salem Automech - Salem,CRISIL B+/CRISIL A4,18-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,Salem Automech India Private Limited,CRISIL B+/CRISIL A4,30-Aug-13,CRISIL B/CRISIL A4,1-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724,Sales India Private Limited,CRISIL BBB-,30-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725,Salet Seafoods Private Limited,CRISIL B+/CRISIL A4,6-Apr-09,"CRISIL BB-/CRISILA4+",19-May-11,Suspended,9-Dec-13,"CRISIL BB/CRISILA4+",5-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,
2726,Salia Polymers Private Limited,CRISIL B-,12-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,Salma Export Import Agency,CRISIL B+,15-Mar-12,CRISIL BB-,30-Jun-14,"CRISIL BB-/CRISILA4+",28-Aug-15,CRISIL BB-,10-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,
2728,Saloraa Fabs,CRISIL B/CRISIL A4,16-Feb-12,Suspended,13-Jun-14,"CRISIL BB-/CRISILA4+",20-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2729,Saluja Motors Private Limited,CRISIL BB+,31-Jan-13,CRISIL BB,19-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,Saluja Steel and Power Private Limited,CRISIL BB,31-Dec-14,"CRISIL BB/CRISILA4+",7-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731,Salvo Explosives and Chemicals Private Limited,CRISIL BB+/CRISIL A4+,16-Jan-14,Suspended,26-Dec-16,"CRISIL BBB-/CRISILA3",31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,Salzer Electronics Limited,CRISIL A-/CRISIL A2+,22-Apr-08,"CRISIL A-/CRISILA1",4-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,Salzer Magnet Wires Limited,CRISIL BB/CRISIL A4+,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,Sam Exports,CRISIL B/CRISIL A4,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735,Sam India Builtwell Private Limited.,CRISIL BBB/CRISIL A3+,30-Apr-12,CRISIL A3+,28-May-13,CRISIL A2,3-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,Samal Auto India Private Limited,CRISIL BB-,29-Jan-10,Suspended,8-Aug-11,"CRISIL BB/CRISILA4+",27-Feb-13,CRISIL BB,9-May-14,,,,,,,,,,,,,,,,,,,,,,,,
2737,Samal Builders Private Limited,CRISIL BB-/CRISIL A4+,22-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738,Samal Equip,CRISIL B+/CRISIL A4,30-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739,Samaleswari Education Trust,CRISIL D,5-Jul-12,CRISIL B-,29-Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,Samanvaya Health Care Private Limited,CRISIL B+,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2741,Samarpan Laminates,CRISIL B+,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742,Samarth Fablon Private Limited,CRISIL BBB-,12-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743,Samartha Leisures and Restaurants Private Limited,CRISIL D,9-May-13,CRISIL B,25-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744,Samasta Microfinance Limited,CRISIL A,23-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745,Samay Alloys India Private Limited,CRISIL B-/CRISIL A4,26-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746,Samay Cotton,CRISIL B+,14-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,Samay Project Services Private Limited,CRISIL BB-/CRISIL A4+,21-Nov-12,"CRISIL B+/CRISILA4",26-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,Sambandam Siva Textiles Private Limited,CRISIL B-/CRISIL A4,30-Apr-09,CRISIL B/CRISIL A4,11-May-11,CRISIL B+/CRISIL A4,17-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,Sambandam Spinning Mills Limited,CRISIL BB-/CRISIL A4+,3-Sep-10,CRISIL BB-,15-Nov-11,"CRISIL BB/CRISILA4+",11-Jan-13,"CRISILBB+/CRISIL A4+",27-Dec-13,"CRISILBB+/FB+/CRISILA4+",20-Jan-15,"CRISILB+/FB+/CRISILA4",30-Jul-16,,,,,,,,,,,,,,,,,,,,
2750,Sambari Enterprises,CRISIL B+,24-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,Sambashiva Cotton Industries,CRISIL B,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752,Sambhav Detergents Private Limited,CRISIL B+,30-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,Sami Labs Limited,CRISIL BBB+/CRISIL A2,29-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754,Sami Spices and Herbs Private Limited,CRISIL B/CRISIL A4,25-Jul-13,"CRISIL B+/CRISILA4",21-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,Sami Umayaal Traders,CRISIL B+/CRISIL A4,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,Samkeet Electronics,CRISIL BB-/CRISIL A4+,9-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,Samkit Diamond Export Private Limited,CRISIL A4+,18-Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision"
2758,SAMKRG Pistons and Rings Limited,CRISIL A-/CRISIL A2+,6-Apr-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,Sammon Infracorp,CRISIL BB/CRISIL A4+,28-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,Samosaran Syntex Private Limited,CRISIL BB+,31-Oct-11,"CRISIL BB+/CRISILA4+",22-Jan-13,CRISIL BBB-,26-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2761,Samosaran Yarns Private Limited,CRISIL BB/CRISIL A4+,22-Nov-10,"CRISIL BB+/CRISILA4+",28-Nov-11,"CRISIL BBB-/CRISILA3",26-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,Sampuran Packaging,CRISIL B,29-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,Samra Industries Limited,CRISIL B,23-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2764,Samraksha Health Care Private Limited,CRISIL B,13-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,Samrakshana Electricals Limited,CRISIL D/CRISIL D,7-Dec-09,"CRISIL B-/CRISILA4",24-Feb-14,CRISIL B/CRISIL A4,22-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,Samrat Electronics,CRISIL BB-,20-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,Samrat Feed Mills,CRISIL BBB-,28-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768,Samrat Forgings Limited,CRISIL BB/CRISIL A4+,8-Dec-09,"CRISIL B+/CRISILA4",5-Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769,Samrat Plywood Limited,CRISIL BB-/CRISIL A4+,30-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,Samrat Vijay Construction Private Limited,CRISIL B,30-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771,Samruddhi Realty Limited,CRISIL BB-,18-Nov-14,CRISIL BB(SO),3-Sep-15,"CRISIL BB/CRISILBB(SO)",20-Jul-16,"CRISIL B-/CRISILD",11-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,
2772,Samrudh Pharmacare Private Limited,CRISIL B-,9-Dec-15,"CRISIL B-/CRISILA4",17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,Samrudh Pharmaceuticals Private Limited,CRISIL BBB-/CRISIL A3,14-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,"Samson And Sons Builders And Developers PrivateLimited",CRISIL B+,3-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,Samsonite South Asia Private Limited,CRISIL A+/CRISIL A1,16-Mar-09,"CRISIL AA-/CRISILA1+",22-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2776,Samsung Overseas Limited,CRISIL BBB-/CRISIL A3,27-Aug-10,"CRISIL BB/CRISILA4+",14-Mar-14,"CRISIL BB-/CRISILA4+",27-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,Samudra Vehicles Private Limited,CRISIL B+,29-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,Samvardhana Motherson International Limited,CRISIL A+,18-Sep-14,"CRISIL A+/CRISILA1+",29-May-15,"CRISIL AA-/CRISILA1+",21-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,Samyu Glass Private Limited,CRISIL B+,10-Nov-10,CRISIL D/CRISIL D,2-Apr-12,Suspended,2-Apr-14,"CRISIL C/CRISILA4",30-Jun-15,"CRISILD/CRISIL D",3-Aug-16,,,,,,,,,,,,,,,,,,,,,,
2780,SAN Automotive Industries Private Limited,CRISIL BB/CRISIL A4+,13-Jul-10,CRISIL BB,23-Feb-12,"CRISIL BB/CRISILA4+",30-Sep-13,CRISIL BB-,7-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,
2781,San Engineering and Locomotive Company Limited,CRISIL BBB+/CRISIL A2,9-Jul-09,"CRISIL A-/CRISILA2+",3-Mar-11,CRISIL A-/CRISIL A1,2-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2782,Sanaa Distributors India Private Limited,CRISIL B,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,Sanatan Logistics Private Limited,CRISIL BB-/CRISIL A4+,14-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784,Sancheti Cotex,CRISIL B,11-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,Sancheti Gems and Jewellers India Private Limited,CRISIL B+,28-Aug-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786,Sancheti Ornaments Private Limited,CRISIL BB-,19-May-15,CRISIL BB,9-Jul-15,CRISIL BB-,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,Sancheti Properties,CRISIL B+,28-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788,Sanco Industries Limited,CRISIL BB/CRISIL A4+,19-Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789,Sanctum Work Wear Private Limited,CRISIL BB/CRISIL A4+,27-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790,Sand Land Real Estates Private Limited,CRISIL BBB+,22-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791,Sandeep Agro Foods,CRISIL B+,29-Apr-14,CRISIL BB-,26-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,Sandeep Lead Alloys (India) Private Limited,CRISIL BB-/CRISIL A4+,8-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,Sandha Heemghar Private Limited,CRISIL B+,3-Nov-15,"CRISIL B+/CRISILA4",14-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,Sandhu Automobiles Private Limited,CRISIL BB-,25-Nov-10,CRISIL BB,7-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,Sandhya Aqua Exports Private Limited,CRISIL B+/CRISIL A4,31-Jul-09,"CRISIL BB-/CRISILA4+",24-Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796,Sandhya Organic Chemicals Private Limited,CRISIL BBB-/CRISIL A3,14-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797,Sandhya Poultry Farm,CRISIL B,23-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798,Sandhya Spinning Mill Limited,CRISIL BBB-/CRISIL A3,6-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,Sandoz Merchants Private Limited,CRISIL B+/CRISIL A4,21-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,Sandu Developers,CRISIL B+,11-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801,Sandu Pharmaceuticals Limited,CRISIL BB,29-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802,Sandvik Asia Private Limited,CRISIL AA/CRISIL A1+,17-Oct-08,"CRISIL AA-/CRISILA1+",12-Jun-09,"CRISIL AA/CRISILA1+",8-Feb-12,"CRISIL AA-/CRISILA1+",25-Mar-14,"CRISILAA/CRISIL A1+",2-Mar-17,,,,,,,,,,,,,,,,,,,,,,
2803,Sandy Resort Private Limited,CRISIL B,7-Apr-10,CRISIL D,31-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,Sanee Infrastructure Private Limited,CRISIL B/CRISIL A4,8-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,Sanei Motors Private Limited,CRISIL B+,4-Jun-13,CRISIL BB-,22-Sep-14,CRISIL BB,9-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,Sanga Automobiles Private Limited,CRISIL D/CRISIL D,10-Jan-14,"CRISIL B-/CRISILA4",6-May-15,Suspended,12-Feb-16,"CRISIL B+/CRISILA4",28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,
2807,Sangam Forgings Private Limited,CRISIL BB-/CRISIL A4+,25-Nov-10,CRISIL B/CRISIL A4,12-Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808,Sangam Health Care Products Limited,CRISIL D,29-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,Sangam Rice Private Limited,CRISIL B-,26-Dec-13,CRISIL B,3-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,Sangameshwar Coffee Estates Limited,CRISIL BB/CRISIL A4+,28-Apr-14,CRISIL BB,17-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,Sangameshwar Dall Mill,CRISIL BB-,28-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812,Sangani Infrastructure India Private Limited,CRISIL BB-,29-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813,Sangath Infrastructures Private Limited,CRISIL BB,15-May-14,CRISIL D,5-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,Sangdeep Acid-Chem Private Limited,CRISIL BB-,20-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815,Sangeeta Poly Pack Private Limited,CRISIL BBB-/CRISIL A3,11-Nov-09,"CRISIL BBB/CRISILA3+",19-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,Sanghar Exports,CRISIL BB/CRISIL A4+,29-Aug-11,Suspended,14-Nov-13,"CRISIL BB+/CRISILA4+",29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2817,Sanghavi Foods Private Limited,CRISIL BBB+,15-Nov-11,CRISIL BBB,5-Nov-12,Suspended,11-Feb-14,CRISIL BB+,31-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,
2818,Sanghi Automobiles,CRISIL BB,11-Feb-10,CRISIL BB+,15-Mar-11,CRISIL BB,31-May-12,"CRISIL BB/CRISILA4+",19-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,
2819,Sanghvi International,CRISIL BB/CRISIL A4+,8-Jun-12,"CRISIL BB+/CRISILA4+",13-May-13,Suspended,9-Mar-15,Withdrawal,5-Oct-15,"CRISILBB+/CRISIL A4+",16-Jan-17,,,,,,,,,,,,,,,,,,,,,,
2820,Sangini Commerce Private Limited,CRISIL B-,12-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,Sango Auto Forge Private Limited,CRISIL D/CRISIL D,31-Jan-11,CRISIL B/CRISIL A4,19-Mar-12,CRISIL B+/CRISIL A4,30-Mar-16,CRISIL B+,12-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,
2822,Sangram Cane Agro Limited,CRISIL B-,19-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823,Sangrur Agro Limited,CRISIL BB+/CRISIL A4+,13-Jan-14,"CRISIL BBB-/CRISILA3",11-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2824,Sani Steels Corporation,CRISIL BB-,4-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,Sanimo Polymers Private Limited,CRISIL BB-/CRISIL A4+,20-Jul-11,Suspended,28-May-13,CRISIL BB-,30-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Sanjana Cryogenic Storages Limited,CRISIL A-(SO),14-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2827,Sanjar Pharma LLP,CRISIL B,9-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2828,Sanjay Chemicals India Private Limited,CRISIL BB+/CRISIL A4+,28-Mar-13,"CRISIL BBB-/CRISILA3",30-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2829,Sanjay Commercial Company,CRISIL BB+,5-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2830,Sanjay Cotton (Gondal),CRISIL B+,22-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2831,Sanjay D. Ghodawat,CRISIL BB-,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2832,Sanjay Industrial Steels (Bhopal) Private Limited,CRISIL BB-,26-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2833,Sanjay Sales Private Limited,CRISIL BB/CRISIL A4+,3-May-12,CRISIL BB,24-Sep-14,CRISIL BB+,28-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,Sanjeev Industrial Corporation,CRISIL BB-,14-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835,Sanjeev Kumar Goyal Contractor,CRISIL B+/CRISIL A4,30-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,Sanjivani Paranteral Limited,CRISIL BBB/CRISIL A3+,25-Feb-10,"CRISIL BBB-/CRISILA3",25-Aug-11,"CRISIL BB+/CRISILA4+",12-Dec-12,"CRISIL B+/CRISILA4",18-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,
2837,Sanjivini Pipes and Fittings Private Limited,CRISIL B+,19-Dec-13,CRISIL B,14-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,Sankagiri Spintex Limited,CRISIL BB/CRISIL A4+,18-Dec-12,Suspended,27-Sep-16,CRISIL BB+,24-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,Sankalp Construction,CRISIL BBB/CRISIL A3+,1-Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2840,Sankar Cotton Traders- Guntur,CRISIL BB-,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,Sankar Industries,CRISIL B-,20-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2842,Sankar JP Sealing Technologies Private Limited,CRISIL B/CRISIL A4,22-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2843,Sankar Marine Aquarium,CRISIL B/CRISIL A4,20-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2844,Sanket Properties Private Limited,CRISIL B+,27-Dec-13,CRISIL D,24-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2845,Sanklecha Constructions Private Limited,CRISIL B,30-Apr-15,CRISIL B+,7-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2846,Sankrail Agro Poultries Private Limited,CRISIL D/CRISIL D,21-Jun-12,"CRISIL B-/CRISILA4",12-Dec-13,CRISIL B+/CRISIL A4,16-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2847,Sankranthi Raw and Boiled Rice Mill,CRISIL B,24-Feb-15,"CRISIL B+/CRISILA4",28-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2848,Sanmaan Agro Industries,CRISIL B,2-Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,Sanmaan Rice Mills,CRISIL B,19-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2850,Sanman Constructions,CRISIL D/CRISIL D,16-Jan-12,"CRISIL B-/CRISILA4",8-Aug-13,CRISIL B/CRISIL A4,21-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2851,Sanman Trade Impex Limited,CRISIL A-/CRISIL A2+,22-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2852,Sanmati Jewellers,CRISIL BB-,16-May-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2853,Sanna Enterprises,CRISIL B/CRISIL A4,1-Sep-15,"CRISIL BB-/CRISILA4+",26-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,Sansar Texturisers Private Limited,CRISIL BB-,1-Mar-12,Suspended,9-Dec-14,CRISIL B+,19-Aug-15,CRISIL D,25-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
2855,Sansidh Agro Industries Private Limited,CRISIL B,27-Jan-12,CRISIL B+,3-Apr-13,CRISIL BB-,1-Apr-14,CRISIL BB,19-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,
2856,Sanskriti Packaging Private Limited,CRISIL BB-,8-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2857,Sanstar Bio-Polymers Limited,CRISIL BBB-,18-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2858,Sant Bhagatram Ginning and Pressing,CRISIL B+/CRISIL A4,11-Apr-14,CRISIL B+,6-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2859,Sant Ram Mangat Ram Jewellers Private Limited,CRISIL B+,8-Jul-10,CRISIL BB-,25-Jul-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2860,Sant Rubbers Limited,CRISIL BB+/CRISIL A4+,29-Jun-12,"CRISIL BBB-/CRISILA3",18-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2861,Sant Valves Private Limited,CRISIL B+/CRISIL A4,25-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2862,Santalall and Brothers,CRISIL BB/CRISIL A4+,14-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2863,Santhigiri Ayurveda Siddha Vaidyasala,CRISIL BB-/CRISIL A4+,9-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2864,Santhiram Wind Power Private Limited,CRISIL B,17-Jul-15,CRISIL B+,16-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
