3883,Godha Cabcon and Insulation,CRISIL BB-/CRISIL A4+,23-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3884,Godhani Gems Private Limited,CRISIL BB,23-Dec-11,Suspended,2-May-13,"CRISIL BBB/CRISILA3+",10-Sep-14,"CRISILBB+/CRISIL A4+",23-Jun-15,"CRISIL BB-/CRISIL A4+",7-Sep-15,"CRISILD/CRISIL D",24-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,
3885,Godrej and Boyce Manufacturing Company Limited,CRISIL A1+,4-Aug-98,CRISIL A1,10-Aug-01,CRISIL A1+,19-Jul-07,"CRISIL A+/CRISILA1+",23-Oct-08,"CRISIL AA-/CRISIL A1+",12-Apr-10,"CRISIL AA-/FAA/CRISILA1+",3-Apr-14,"CRISILAA/FAA+/CRISILA1+",26-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,
3886,Godrej Efacec Automation and Robotics Limited,CRISIL BBB/CRISIL A3+,19-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887,Godriwala Education Society,CRISIL B,21-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888,Godriwala Plastics Private Limited,CRISIL BB-,8-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3889,Goel and Associates,CRISIL B/CRISIL A4,30-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3890,Goel Coal Sizing Private Limited,CRISIL BB-,30-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3891,Goel Food Product,CRISIL B+,13-Jul-15,Suspended,5-Dec-16,CRISIL B+,27-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3892,Goel Road Carriers Private Limited,CRISIL B+/CRISIL A4,27-Apr-12,CRISIL B/CRISIL A4,9-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3893,Go-Green Construction Solutions Private Limited,CRISIL BB-,30-Apr-14,CRISIL B+,12-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3894,Gokul Fabrics Private Limited,CRISIL BB-,30-Apr-14,CRISIL BB,9-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3895,Gokul Ginning and Oil Industries,CRISIL B+,15-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3896,Gokul Ginning Factory,CRISIL BB-,26-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3897,Gokul Steels Private Limited,CRISIL B+,15-Sep-14,CRISIL D,12-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3898,Gokula Education Foundation (Medical),CRISIL A+/CRISIL A1,31-Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3899,Gokulam Industries,CRISIL B,20-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,GOL Offshore Limited,CRISIL A+/CRISIL A1,26-Sep-08,CRISIL A/CRISIL A1,16-Jun-09,"CRISIL BBB+/CRISILA2",21-Dec-11,"CRISILBB+/CRISIL A4+",27-Jan-12,"CRISILD/CRISIL D",21-May-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3901,Golawala Diamonds,CRISIL BB+/CRISIL A4+,24-Nov-14,CRISIL BB+,11-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3902,Golchha Enterprises Private Limited,CRISIL B/CRISIL A4,27-Sep-12,"CRISIL B+/CRISILA4",27-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3903,Golconda Textiles Private Limited,CRISIL D/CRISIL D,18-Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3904,Gold Spin India Private Limited,CRISIL B+,15-Jul-15,Suspended,2-Nov-16,CRISIL B+,30-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3905,Gold Star Cottex Limited,CRISIL A4+,19-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3906,Goldcoin Foam Private Limited,CRISIL BB,24-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3907,Goldcoin Polyplast,CRISIL B+,24-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3908,Golden Agrarian Private Limited,CRISIL B+,1-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3909,Golden Apparels Exports Private Limited,CRISIL B/CRISIL A4,8-Oct-12,"CRISIL BB-/CRISILA4+",20-Dec-13,"CRISIL BBB-/CRISILA3",13-Oct-14,"CRISILBBB/CRISIL A3+",26-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3910,Golden Apple,CRISIL B,28-Oct-14,CRISIL B+,21-Aug-15,Suspended,27-Dec-16,CRISIL B+,23-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3911,Golden Developers,CRISIL B+,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3912,Golden Falcon Industries Limited,CRISIL BBB-,5-Jun-13,CRISIL BBB+,9-Sep-14,CRISIL BBB,10-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3913,Golden Floor Furnishing Private Limited,CRISIL BBB-,7-Oct-14,CRISIL BBB,26-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3914,Golden Globe Impex Private Limited,CRISIL BB-/CRISIL A4+,27-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3915,Golden International Private Limited,CRISIL BBB-,14-Oct-14,CRISIL BBB,26-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3916,Golden Metal Private Limited,CRISIL BB+/CRISIL A4+,29-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3917,Golden Shelters Private Limited,CRISIL B+,20-Feb-14,"CRISIL BB-/CRISILA4+",17-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3918,Golden Spinning Mills Private Limited,CRISIL B-/CRISIL A4,17-Feb-12,CRISIL B/CRISIL A4,26-Nov-13,CRISIL B,2-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3919,Golden Star Facilities and Services Private Limited,CRISIL BB,30-Oct-12,CRISIL BB+,11-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3920,Golden Terry Towel Private Limited,CRISIL BBB-/CRISIL A3,13-Oct-14,"CRISIL BBB/CRISILA3+",26-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3921,Golden Texo Fabs Limited,CRISIL BB-,17-Oct-11,CRISIL BB,15-Jul-14,"CRISIL BBB-/CRISILA3",7-Oct-14,"CRISILBBB/CRISIL A3+",26-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3922,Golden Vats Private Limited,CRISIL BB,19-Aug-13,CRISIL BB+,28-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923,Goldenline Infrastructure Private Limited,CRISIL D,24-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3924,Goldfield Fragrances Private Limited,CRISIL BB+/CRISIL A4+,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3925,Goldman Sachs India Securities Private Limited,CRISIL A1+(SO),25-Nov-08,CRISIL A1+,26-Jul-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3926,Goldrush Sales and Services Limited,CRISIL B,27-Nov-09,CRISIL B+,24-Dec-10,CRISIL B,8-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3927,Goldseal-Saargummi India Private Limited,CRISIL BBB-,3-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3928,Goldstab Organics Private Limited,CRISIL BBB+/CRISIL A2,31-Aug-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3929,Goldstar Battery Private Limited,CRISIL B/CRISIL A4,6-Jun-12,"CRISIL B-/CRISILA4",31-Oct-14,CRISIL B/CRISIL A4,30-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3930,Goldstar Metals Limited,CRISIL BB+/CRISIL A4+,31-Mar-12,Suspended,9-Dec-13,"CRISIL BB+/CRISILA4+",9-Sep-15,"CRISIL BB/CRISILA4+",26-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3931,Goldstar Polymers Limited,CRISIL B+/CRISIL A4,30-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3932,Goldstone Infratech Limited,CRISIL BBB/CRISIL A3+,25-Nov-09,"CRISIL BB-/CRISILA4+",5-Sep-12,CRISIL B-/CRISIL A4,24-Jun-13,"CRISIL D/CRISILD",3-Jul-14,"CRISILB/CRISIL A4",27-Oct-14,"CRISIL BB-/CRISIL A4+",14-May-15,"CRISILBB/CRISIL A4+",18-Nov-15,"CRISILBB+/CRISIL A4+",26-Aug-16,,,,,,,,,,,,,,,,,,,,,,
3933,Goldstone Technologies Limited,CRISIL BB,18-Oct-12,"CRISIL BB/CRISILA4+",16-Aug-13,"CRISIL BB-/CRISILA4+",25-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3934,Golf Ceramics Limited,CRISIL D/CRISIL D,27-Aug-09,"CRISIL B-/CRISILA4",30-Aug-13,CRISIL B+/CRISIL A4,5-Nov-14,"CRISIL BB/CRISILA4+",31-Jul-15,"CRISILBB+/CRISIL A4+",29-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3935,Golflinks Software Park Private Limited,CRISIL BBB(SO),23-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3936,Goma Engineering Private Limited,CRISIL BBB-/CRISIL A3,29-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3937,Gomathi Spinning Mills India Private Limited,CRISIL BBB/CRISIL A3+,29-Dec-08,CRISIL BBB+,13-Oct-10,"CRISIL A-/CRISILA2+",25-Nov-13,"CRISILBBB+/CRISIL A2",30-May-16,"CRISIL BBB-/CRISIL A3",12-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3938,Gomathi Steels,CRISIL B+/CRISIL A4,20-Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3939,Gondwana Engineers Limited,CRISIL A/CRISIL A1,2-Apr-09,"CRISIL BBB-/CRISILA3",18-May-10,"CRISIL BB-/CRISILA4+",14-Aug-13,"CRISIL B-/CRISILA4",30-Oct-15,"CRISILD/CRISIL D",13-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3940,Good Greens India Private Limited,CRISIL B+/CRISIL A4,31-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3941,Good Leather Company,CRISIL BBB-/CRISIL A3,27-Sep-11,"CRISIL BBB/CRISILA3+",9-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3942,Good Leather Shoes Private Limited,CRISIL BBB-/CRISIL A3,3-Nov-10,"CRISIL BBB/CRISILA3+",9-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943,Good Luck Capital Private Limited,CRISIL B-/CRISIL A4,12-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3944,Good Media News Private Limited,CRISIL B-,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945,Goodearth Minchem Private Limited,CRISIL B+,27-Jan-15,CRISIL BB-,21-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3946,Goodluck Packaging Private Limited,CRISIL B+,31-Aug-15,CRISIL B,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3947,Goodluck Publishers Limited,CRISIL B+,29-Mar-12,CRISIL BB-,4-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3948,Goodone Traders Private Limited,CRISIL A4+,21-Feb-11,CRISIL BB-,3-Mar-14,CRISIL B+/CRISIL A4,27-May-15,"CRISIL D/CRISILD",1-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3949,Goodrich Gasket Private Limited,CRISIL BB/CRISIL A4+,28-Mar-13,"CRISIL BB+/CRISILA4+",23-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3950,"Goodwill Advance Construction Company PrivateLimited",CRISIL BB+/CRISIL A4+,8-Feb-12,CRISIL A4+,17-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3951,Gopal Consumer World,CRISIL BBB-,9-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952,Gopal Cotton Industries,CRISIL B+,28-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3953,Gopal Cylinders,CRISIL BBB-/CRISIL A3,26-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3954,Gopal Cylinders Unit - III,CRISIL BBB-/CRISIL A3,26-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3955,Gopal Krishna Oil-Tech Industries Private Limited,CRISIL B+,23-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3956,Gopal Lifesciences Unit - II,CRISIL BB-/CRISIL A4+,30-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3957,Gopal Snacks Private Limited,CRISIL BB,14-Jul-11,CRISIL BBB-,11-Jul-12,"CRISIL BBB/CRISILA3+",28-Apr-14,"CRISILBBB+/CRISIL A2",5-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3958,Gopal Sponge and Power Private Limited,CRISIL BBB/CRISIL A3+,27-Jul-09,"CRISIL BBB-/CRISILA3",17-Sep-13,"CRISIL BBB/CRISILA3+",14-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3959,Gopal Udhyog,CRISIL BB-,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960,Gopala Kraft Pack Private Limited,CRISIL B,28-Feb-11,CRISIL B-,18-Jul-12,CRISIL B,25-Oct-13,CRISIL B+,13-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961,Gopala Polyplast Limited,CRISIL D/CRISIL D,13-Jan-10,CRISIL B/CRISIL A4,9-Mar-12,"CRISIL BB-/CRISILA4+",23-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962,Gopalan Enterprises,CRISIL BBB+,22-Oct-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3963,Gopalan Enterprises India Private Limited,CRISIL BBB+/CRISIL A2,22-Oct-10,CRISIL BBB+,29-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964,Gopalan Foundation,CRISIL BBB,26-Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965,Gopani Iron and Power India Private Limited.,CRISIL BB+/CRISIL A4+,19-Jun-12,"CRISIL BB/CRISILA4+",22-Dec-15,"CRISIL BB+/CRISILA4+",10-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3966,Gopani Metal Industries Private Limited,CRISIL BBB/CRISIL A3+,12-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967,Gopi Chand Krishan Kumar Bhatia,CRISIL BB-/CRISIL A4+,6-Apr-15,Suspended,15-Sep-16,CRISIL BB-,4-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968,Gopi Fabrics (P) Ltd.,CRISIL BB-,31-Jul-15,CRISIL D,7-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969,Gopi Krishna Processors Private Limited,CRISIL BB,31-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970,Gopinath Dairy Products Private Limited,CRISIL B-,30-Dec-15,CRISIL D,10-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,Gopsons Papers Limited,CRISIL B-/CRISIL A4,11-Nov-14,CRISIL D/CRISIL D,9-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3972,Gorantla Multiplex,CRISIL B,1-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973,Goraya Industries - Jalalabad,CRISIL B+,23-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3974,Gouranga Cold Storage Private Limited,CRISIL D/CRISIL D,24-Jul-12,"CRISIL B-/CRISILA4",31-Mar-15,CRISIL B-,17-May-16,"CRISIL B-/CRISILA4",19-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975,Gourav Poultries India Private Limited,CRISIL B+,24-Apr-13,CRISIL B,12-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3976,Gourav Roshni Limited,CRISIL D,28-Mar-14,CRISIL B-,7-Jul-15,CRISIL D,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3977,Gouthami Hatcheries Private Limited,CRISIL B,29-Aug-12,CRISIL B-,19-Nov-13,CRISIL D,10-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3978,Govaan Steels Private Limited,CRISIL D/CRISIL D,28-Dec-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3979,Govardhan Cars Private Limited,CRISIL B/CRISIL A4,23-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980,Govardhan Ispat (India) Private Limited,CRISIL BB,22-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981,Govardhani Construction Co.,CRISIL BB/CRISIL A4+,29-Oct-15,"CRISIL BB+/CRISILA4+",17-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3982,Goverdhan Cottex,CRISIL B,14-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983,Govind Agro Foods,CRISIL B/CRISIL A4,5-Oct-11,CRISIL B+,2-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3984,Govind Rubber Limited,CRISIL A1,1-Nov-93,CRISIL A1+,1-Apr-94,CRISIL A1,1-Oct-94,"CRISIL A-/CRISILA1",30-Jun-95,CRISIL A-,30-Jun-96,Withdrawal,30-Sep-96,"CRISIL D/CRISILD",26-Nov-13,"CRISIL B-/CRISILA4",22-Jan-15,"CRISIL D/CRISILD",17-Dec-15,,,,,,,,,,,,,,,,,,,,
3985,Govind Steel Co Limited,CRISIL B/CRISIL A4,30-Apr-11,"CRISIL B+/CRISILA4",28-Nov-13,"CRISIL BB-/CRISILA4+",9-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3986,Govindam Food Products Private Limited,CRISIL B,26-Oct-12,CRISIL B+,10-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3987,Govindam Knit Fab,CRISIL B,17-Jul-14,CRISIL B+,29-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3988,Govindam Projects Private Limited,CRISIL BB,14-Sep-12,CRISIL B+,16-Dec-13,CRISIL BB-,31-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3989,Gowthami Raw and Par Boiled Rice Mill,CRISIL B+,29-Jul-10,CRISIL B/CRISIL A4,15-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3990,Goya Agro Industries Limited,CRISIL B+,23-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3991,Goyal Agencies Private Limited,CRISIL B-/CRISIL A4,29-Apr-11,CRISIL B/CRISIL A4,31-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3992,Goyal Glassware Private Limited,CRISIL B/CRISIL A4,30-Jul-12,"CRISIL B+/CRISILA4",17-Oct-13,"CRISIL BB-/CRISILA4+",23-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3993,Goyal MG Gases Private Limited,CRISIL BBB+/CRISIL A2,16-Mar-09,CRISIL D/CRISIL D,29-Aug-12,CRISIL B+/CRISIL A4,13-Feb-13,"CRISIL BB/CRISILA4+",24-Sep-13,"CRISILBB+/CRISIL A4+",20-Feb-14,"CRISIL BBB-/CRISIL A3",23-Jun-14,"CRISILBBB/CRISIL A3+",9-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,
3994,Goyal Proteins Limited,CRISIL A-,22-Sep-09,CRISIL BBB+,23-Dec-11,CRISIL A-,1-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3995,Goyal Rice Mills - Moonak (Punjab),CRISIL B,22-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3996,Goyal Sons,CRISIL BB/CRISIL A4+,24-May-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3997,Goyal Sons Jewels Private Limited,CRISIL BB,13-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3998,Goyal Sons Zaveri Private Limited,CRISIL BB,13-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3999,Goyal Vegoils Limited,CRISIL A-,22-Sep-09,CRISIL BBB+,23-Dec-11,CRISIL A-,1-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,Goyum Screw Press,CRISIL B/CRISIL A4,26-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,GP Global Asphalt Private Limited,CRISIL BBB+/CRISIL A2,30-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,GP Global Energy Private Limited,CRISIL A-(SO)/CRISIL A2+,30-Jan-15,"CRISIL A-(SO)/CRISILA2+(SO)",31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003,GP Petroleums Limited,CRISIL A2,2-Apr-15,"CRISILBBB+/CRISIL A2",10-Apr-15,"CRISIL A-/CRISILA2+",30-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4004,GPI Projects Private Limited,CRISIL BB-/CRISIL A4+,9-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005,GR8 Constructions Private Limited,CRISIL B,26-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4006,Grace Infrastructure Private Limited,CRISIL BBB/CRISIL A3+,30-Apr-09,"CRISILBBB+/CRISIL A2",22-Sep-11,"CRISIL A-/CRISILA2+",24-Sep-12,"CRISILBBB+/CRISIL A2",25-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4007,Grace International,CRISIL B+,17-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4008,Grace Manufacturing And Trading Company,CRISIL B+/CRISIL A4,28-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4009,Gracia Metals Private Limited,CRISIL B+/CRISIL A4,25-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010,Graffiti Exports,CRISIL B+/CRISIL A4,28-Nov-12,"CRISIL BB-/CRISILA4+",21-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4011,Graffiti Laminates Private Limited,CRISIL B+,4-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4012,Grameen Vikas Sanstha,CRISIL B+,2-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,Granada Services Private Limited,CRISIL BBB-/CRISIL A3,5-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4014,Grand Auto Capital,CRISIL B+,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4015,Grand Auto Udyog Private Limited,CRISIL BB-,15-Jun-11,CRISIL B+,23-Oct-13,"CRISIL BB-/CRISILA4+",3-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4016,Grand Hyundai,CRISIL B+,31-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4017,Grand Marine Foods,CRISIL A4,27-Jun-13,CRISIL B/CRISIL A4,3-Jan-14,CRISIL B+/CRISIL A4,16-Feb-15,"CRISIL BB-/CRISIL A4+",23-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4018,Grand Motors,CRISIL B/CRISIL A4,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4019,Grand Motors Sales and Services Private Limited,CRISIL BB-,28-Feb-14,CRISIL B+,8-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020,Grand Polycoats Company Private Limited,CRISIL BBB-/CRISIL A3,30-Jan-14,"CRISIL BBB/CRISILA3+",27-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4021,Grandeur Agrotech Private Limited,CRISIL B+,21-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4022,Grandway Incorporated,CRISIL B/CRISIL A4,1-Oct-14,Suspended,10-Mar-16,CRISIL B,21-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4023,Granite Mart Limited,CRISIL B/CRISIL A4,29-Oct-12,Suspended,31-Jul-15,CRISIL B/CRISIL A4,22-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4024,Granite Zone India Private Limited,CRISIL B+,29-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025,Grape Marketing Private Limited,CRISIL BB-/CRISIL A4+,15-May-15,CRISIL B/CRISIL A4,29-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4026,Grasim Industries Limited,CRISIL AAA/CRISIL A1+,7-Nov-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4027,Grasp Clothings,CRISIL BB-,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4028,Gravit Engineering Works,CRISIL B/CRISIL A4,26-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4029,GRB Dairy Foods Private Limited,CRISIL BBB,30-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4030,Great Eastern Appliances Private Limited,CRISIL BB-,23-Apr-10,Suspended,2-Apr-13,CRISIL BBB-,4-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4031,"Great Eastern Trading Co., A Unit of Great Eastern HirePurchase Private Limited",CRISIL BB,13-Sep-10,"CRISIL BBB-/CRISILA3",6-Jun-13,CRISIL BBB-,12-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
